model,threshold,trial,precision,recall,f1,pos_acc,neg_acc,num_initial_seeds,model_name
SentenceTransformer,0.1,1,0.006944591252140456,0.7326456649010316,0.013758766108829326,0.7326456649010316,0.8697289133133407,10,all-mpnet-base-v2
SentenceTransformer,0.1,2,0.005035532022711765,0.7036520769445219,0.009999504778883771,0.7036520769445219,0.8271189296164658,10,all-mpnet-base-v2
SentenceTransformer,0.5,1,0.08765359367109914,0.5807081126289378,0.15231618587985815,0.5807081126289378,0.9924842003894309,10,all-mpnet-base-v2
SentenceTransformer,0.5,2,0.08668730650154799,0.5776414831335378,0.15075120957473898,0.5776414831335378,0.9924325489830392,10,all-mpnet-base-v2
SentenceTransformer,0.1,1,0.014421782032761196,0.6568162810147756,0.028223850111709425,0.6568162810147756,0.9441859755685381,25,all-mpnet-base-v2
SentenceTransformer,0.1,2,0.013615639248016988,0.6685252299972122,0.026687737885903798,0.6685252299972122,0.9397782733385494,25,all-mpnet-base-v2
SentenceTransformer,0.5,1,0.08196911196911197,0.5918594926122107,0.14399565910401194,0.5918594926122107,0.9917576141626077,25,all-mpnet-base-v2
SentenceTransformer,0.5,2,0.07788209943050639,0.5642598271536102,0.13687235841081996,0.5642598271536102,0.9916927899143176,25,all-mpnet-base-v2
SentenceTransformer,0.1,1,0.006825229994679954,0.7332032339001952,0.013524562765798798,0.7332032339001952,0.8673338826639507,10,dwulff/mpnet-personality
SentenceTransformer,0.1,2,0.0038339420138630096,0.7170337329244494,0.007627102309037019,0.7170337329244494,0.7683389358354338,10,dwulff/mpnet-personality
SentenceTransformer,0.5,1,0.17164179104477612,0.5706718706439922,0.26390769032424416,0.5706718706439922,0.9965754077601212,10,dwulff/mpnet-personality
SentenceTransformer,0.5,2,0.1658540616477977,0.5595204906607193,0.2558643549209587,0.5595204906607193,0.9965008772072743,10,dwulff/mpnet-personality
SentenceTransformer,0.1,1,0.012540744464194101,0.6746584889880123,0.024623775170687534,0.6746584889880123,0.9339447842999137,25,dwulff/mpnet-personality
SentenceTransformer,0.1,2,0.014364489216189442,0.6710342904934485,0.02812688062727501,0.6710342904934485,0.9427470159179928,25,dwulff/mpnet-personality
SentenceTransformer,0.5,1,0.16072881080201726,0.5508781711736828,0.24885082803349914,0.5508781711736828,0.99642322677082,25,dwulff/mpnet-personality
SentenceTransformer,0.5,2,0.1678502798897151,0.5600780596598829,0.25829262021085114,0.5600780596598829,0.9965473288076533,25,dwulff/mpnet-personality
SentenceTransformer,0.1,1,0.001726491721777976,0.5115695567326457,0.003441369196088654,0.5115695567326457,0.6321955348919116,10,allenai/scibert_scivocab_uncased
SentenceTransformer,0.1,2,0.002365227246662304,0.48870922776693615,0.004707670575850429,0.48870922776693615,0.7436835356462301,10,allenai/scibert_scivocab_uncased
SentenceTransformer,0.5,1,0.001726491721777976,0.5115695567326457,0.003441369196088654,0.5115695567326457,0.6321955348919116,10,allenai/scibert_scivocab_uncased
SentenceTransformer,0.5,2,0.002365227246662304,0.48870922776693615,0.004707670575850429,0.48870922776693615,0.7436835356462301,10,allenai/scibert_scivocab_uncased
SentenceTransformer,0.1,1,0.0031443054813709978,0.3479230554781154,0.006232287544164097,0.3479230554781154,0.8628429835377608,25,allenai/scibert_scivocab_uncased
