model,threshold,trial,precision,recall,f1,pos_acc,neg_acc,num_initial_seeds,model_name
SentenceTransformer,0.1,1,0.006944591252140456,0.7326456649010316,0.013758766108829326,0.7326456649010316,0.8697289133133407,10,all-mpnet-base-v2
SentenceTransformer,0.1,2,0.005035532022711765,0.7036520769445219,0.009999504778883771,0.7036520769445219,0.8271189296164658,10,all-mpnet-base-v2
SentenceTransformer,0.1,3,0.006968073021770217,0.7267911904098132,0.013803802796765876,0.7267911904098132,0.871208431450784,10,all-mpnet-base-v2
SentenceTransformer,0.1,4,0.006610199181839727,0.7153610259269585,0.013099355497415609,0.7153610259269585,0.8663226937213729,10,all-mpnet-base-v2
SentenceTransformer,0.1,5,0.0062506056788448495,0.719264008921104,0.012393508299567427,0.719264008921104,0.8578095713175927,10,all-mpnet-base-v2
SentenceTransformer,0.1,6,0.005633705532039812,0.7276275439085587,0.011180842632852829,0.7276275439085587,0.8403059843180783,10,all-mpnet-base-v2
SentenceTransformer,0.1,7,0.0064699477032906395,0.7387789238918316,0.012827556495705189,0.7387789238918316,0.8589341160312446,10,all-mpnet-base-v2
SentenceTransformer,0.1,8,0.005157291332481856,0.7125731809311402,0.010240466670406012,0.7125731809311402,0.8290813364056099,10,all-mpnet-base-v2
SentenceTransformer,0.1,9,0.005893735000717914,0.7209367159185949,0.01169188756617943,0.7209367159185949,0.8487948409604665,10,all-mpnet-base-v2
SentenceTransformer,0.1,10,0.004731878555786647,0.719264008921104,0.009401904067781169,0.719264008921104,0.8118855779220396,10,all-mpnet-base-v2
SentenceTransformer,0.15,1,0.007013965548572932,0.7209367159185949,0.013892768883635973,0.7209367159185949,0.873087641343727,10,all-mpnet-base-v2
SentenceTransformer,0.15,2,0.005033547004710347,0.7033732924449401,0.009995562810009033,0.7033732924449401,0.8271189296164658,10,all-mpnet-base-v2
SentenceTransformer,0.15,3,0.006930912726096637,0.7228882074156677,0.013730183104408697,0.7228882074156677,0.871208431450784,10,all-mpnet-base-v2
SentenceTransformer,0.15,4,0.00660315332155887,0.7139671034290493,0.013085286844202824,0.7139671034290493,0.8664398626835228,10,all-mpnet-base-v2
SentenceTransformer,0.15,5,0.0062361600372134495,0.7175913019236131,0.012364864377997843,0.7175913019236131,0.8578095713175927,10,all-mpnet-base-v2
SentenceTransformer,0.15,6,0.005633705532039812,0.7276275439085587,0.011180842632852829,0.7276275439085587,0.8403059843180783,10,all-mpnet-base-v2
SentenceTransformer,0.15,7,0.006467522003979638,0.7385001393922498,0.012822746943161685,0.7385001393922498,0.8589341160312446,10,all-mpnet-base-v2
SentenceTransformer,0.15,8,0.0064343291793240364,0.6749372734875941,0.012747137027774122,0.6749372734875941,0.8704062747099115,10,all-mpnet-base-v2
SentenceTransformer,0.15,9,0.005856355103101953,0.7159185949261221,0.011617675333928995,0.7159185949261221,0.8488832376626803,10,all-mpnet-base-v2
SentenceTransformer,0.15,10,0.004720926137864249,0.7175913019236131,0.009380141722498674,0.7175913019236131,0.8118855779220396,10,all-mpnet-base-v2
SentenceTransformer,0.2,1,0.008568861861654344,0.6568162810147756,0.01691702329321883,0.6568162810147756,0.9055046186410273,10,all-mpnet-base-v2
